codigo_equipo,codigo_atleta
ARCMTEAM3---CHN01,1913366
ARCMTEAM3---CHN01,1913367
ARCMTEAM3---CHN01,1913369
ARCMTEAM3---COL01,1935642
ARCMTEAM3---COL01,1543412
ARCMTEAM3---COL01,1935644
ARCMTEAM3---FRA01,1541270
ARCMTEAM3---FRA01,1541272
ARCMTEAM3---FRA01,1541275
ARCMTEAM3---GBR01,1560988
ARCMTEAM3---GBR01,1560989
ARCMTEAM3---GBR01,1561003
ARCMTEAM3---IND01,1546108
ARCMTEAM3---IND01,1546112
ARCMTEAM3---IND01,1546110
ARCMTEAM3---ITA01,1915456
ARCMTEAM3---ITA01,1915454
ARCMTEAM3---ITA01,1915455
ARCMTEAM3---JPN01,1890994
ARCMTEAM3---JPN01,1890985
ARCMTEAM3---JPN01,1890977
ARCMTEAM3---KAZ01,1931570
ARCMTEAM3---KAZ01,1560342
ARCMTEAM3---KAZ01,1931572
ARCMTEAM3---KOR01,1902130
ARCMTEAM3---KOR01,1902135
ARCMTEAM3---KOR01,1902144
ARCMTEAM3---MEX01,1535430
ARCMTEAM3---MEX01,1536467
ARCMTEAM3---MEX01,1536460
ARCMTEAM3---TPE01,1564631
ARCMTEAM3---TPE01,1564628
ARCMTEAM3---TPE01,1564630
ARCMTEAM3---TUR01,1565000
ARCMTEAM3---TUR01,1565002
ARCMTEAM3---TUR01,1565006
ARCWTEAM3---CHN01,1913382
ARCWTEAM3---CHN01,1913372
ARCWTEAM3---CHN01,1913380
ARCWTEAM3---FRA01,1541265
ARCWTEAM3---FRA01,1541266
ARCWTEAM3---FRA01,1541268
ARCWTEAM3---GBR01,1560991
ARCWTEAM3---GBR01,1560990
ARCWTEAM3---GBR01,1561000
ARCWTEAM3---GER01,1553257
ARCWTEAM3---GER01,1553258
ARCWTEAM3---GER01,1553285
ARCWTEAM3---INA01,1913983
ARCWTEAM3---INA01,1913884
ARCWTEAM3---INA01,1913851
ARCWTEAM3---IND01,1546200
ARCWTEAM3---IND01,1546133
ARCWTEAM3---IND01,1546132
ARCWTEAM3---KOR01,1902121
ARCWTEAM3---KOR01,1902147
ARCWTEAM3---KOR01,1902148
ARCWTEAM3---MAS01,1893596
ARCWTEAM3---MAS01,1893598
ARCWTEAM3---MAS01,1893601
ARCWTEAM3---MEX01,1535429
ARCWTEAM3---MEX01,1535420
ARCWTEAM3---MEX01,1536479
ARCWTEAM3---NED01,1973408
ARCWTEAM3---NED01,1973411
ARCWTEAM3---NED01,1973409
ARCWTEAM3---TPE01,1564635
ARCWTEAM3---TPE01,1564634
ARCWTEAM3---TPE01,1564638
ARCWTEAM3---USA01,1955599
ARCWTEAM3---USA01,1955601
ARCWTEAM3---USA01,1955608
ARCXTEAM2---AUS01,1931124
ARCXTEAM2---AUS01,1931126
ARCXTEAM2---BRA01,1958706
ARCXTEAM2---BRA01,1958717
ARCXTEAM2---CAN01,1971736
ARCXTEAM2---CAN01,1971737
ARCXTEAM2---CHN01,1913380
ARCXTEAM2---CHN01,1913369
ARCXTEAM2---COL01,1935464
ARCXTEAM2---COL01,1935642
ARCXTEAM2---CZE01,1894503
ARCXTEAM2---CZE01,1894507
ARCXTEAM2---EGY01,1889144
ARCXTEAM2---EGY01,1888973
ARCXTEAM2---ESP01,1563638
ARCXTEAM2---ESP01,1563633
ARCXTEAM2---FRA01,1541265
ARCXTEAM2---FRA01,1541270
ARCXTEAM2---GBR01,1561000
ARCXTEAM2---GBR01,1561003
ARCXTEAM2---GER01,1553258
ARCXTEAM2---GER01,1553249
ARCXTEAM2---INA01,1913983
ARCXTEAM2---INA01,1913631
ARCXTEAM2---IND01,1546200
ARCXTEAM2---IND01,1546108
ARCXTEAM2---ISR01,1937691
ARCXTEAM2---ISR01,1937678
ARCXTEAM2---ITA01,1915461
ARCXTEAM2---ITA01,1915454
ARCXTEAM2---JPN01,1890981
ARCXTEAM2---JPN01,1890985
ARCXTEAM2---KOR01,1902147
ARCXTEAM2---KOR01,1902135
ARCXTEAM2---MDA01,1898203
ARCXTEAM2---MDA01,1898162
ARCXTEAM2---MEX01,1535420
ARCXTEAM2---MEX01,1535430
ARCXTEAM2---NED01,1973411
ARCXTEAM2---NED01,1973414
ARCXTEAM2---SLO01,1981582
ARCXTEAM2---SLO01,1981585
ARCXTEAM2---TPE01,1564634
ARCXTEAM2---TPE01,1564630
ARCXTEAM2---TUR01,1565024
ARCXTEAM2---TUR01,1565000
ARCXTEAM2---UKR01,1571753
ARCXTEAM2---UKR01,1571766
ARCXTEAM2---USA01,1955601
ARCXTEAM2---USA01,1955595
ARCXTEAM2---UZB01,1562602
ARCXTEAM2---UZB01,1562613
ARCXTEAM2---VIE01,1563314
ARCXTEAM2---VIE01,1563324
ATHM4X100M--AUS01,1939801
ATHM4X100M--AUS01,1939851
ATHM4X100M--AUS01,1939785
ATHM4X100M--AUS01,1939812
ATHM4X100M--AUS01,1939738
ATHM4X100M--AUS01,1939856
ATHM4X100M--BRA01,1951967
ATHM4X100M--BRA01,1952123
ATHM4X100M--BRA01,1951946
ATHM4X100M--BRA01,1952132
ATHM4X100M--BRA01,1951974
ATHM4X100M--CAN01,1974038
ATHM4X100M--CAN01,1974049
ATHM4X100M--CAN01,1974065
ATHM4X100M--CAN01,1974072
ATHM4X100M--CAN01,1974096
ATHM4X100M--CAN01,1974289
ATHM4X100M--CHN01,1918954
ATHM4X100M--CHN01,1918936
ATHM4X100M--CHN01,1918961
ATHM4X100M--CHN01,1918943
ATHM4X100M--CHN01,1918962
ATHM4X100M--FRA01,1910609
ATHM4X100M--FRA01,1910733
ATHM4X100M--FRA01,1911843
ATHM4X100M--FRA01,1911898
ATHM4X100M--FRA01,1911975
ATHM4X100M--FRA01,1911988
ATHM4X100M--FRA01,1911990
ATHM4X100M--GBR01,1924439
ATHM4X100M--GBR01,3557190
ATHM4X100M--GBR01,1924431
ATHM4X100M--GBR01,1924442
ATHM4X100M--GBR01,1924457
ATHM4X100M--GER01,1920083
ATHM4X100M--GER01,1920355
ATHM4X100M--GER01,1920085
ATHM4X100M--GER01,1920122
ATHM4X100M--GER01,1920252
ATHM4X100M--GER01,1920244
ATHM4X100M--GHA01,1965714
ATHM4X100M--GHA01,1964967
ATHM4X100M--GHA01,1980759
ATHM4X100M--GHA01,1980587
ATHM4X100M--GHA01,1980783
ATHM4X100M--ITA01,1552156
ATHM4X100M--ITA01,1552162
ATHM4X100M--ITA01,1552167
ATHM4X100M--ITA01,1552172
ATHM4X100M--ITA01,1552173
ATHM4X100M--ITA01,1568465
ATHM4X100M--ITA01,1552298
ATHM4X100M--JAM01,1555502
ATHM4X100M--JAM01,1959450
ATHM4X100M--JAM01,1567483
ATHM4X100M--JAM01,1980161
ATHM4X100M--JAM01,1912116
ATHM4X100M--JPN01,1919832
ATHM4X100M--JPN01,1919911
ATHM4X100M--JPN01,1921596
ATHM4X100M--JPN01,1921599
ATHM4X100M--JPN01,1921818
ATHM4X100M--JPN01,1921878
ATHM4X100M--LBR01,1897817
ATHM4X100M--LBR01,1897809
ATHM4X100M--LBR01,1897821
ATHM4X100M--LBR01,1897827
ATHM4X100M--LBR01,1897831
ATHM4X100M--NED01,1972064
ATHM4X100M--NED01,1972066
ATHM4X100M--NED01,1972084
ATHM4X100M--NED01,1972040
ATHM4X100M--NED01,1972133
ATHM4X100M--NGR01,1969332
ATHM4X100M--NGR01,1929250
ATHM4X100M--NGR01,1969351
ATHM4X100M--NGR01,1933137
ATHM4X100M--RSA01,1981059
ATHM4X100M--RSA01,4343340
ATHM4X100M--RSA01,1981060
ATHM4X100M--RSA01,1981055
ATHM4X100M--RSA01,4339445
ATHM4X100M--USA01,1960659
ATHM4X100M--USA01,1960125
ATHM4X100M--USA01,1960958
ATHM4X100M--USA01,1965262
ATHM4X100M--USA01,1965202
ATHM4X100M--USA01,1960173
ATHM4X400M--BEL01,1895555
ATHM4X400M--BEL01,1947771
ATHM4X400M--BEL01,1895568
ATHM4X400M--BEL01,1895577
ATHM4X400M--BEL01,1895581
ATHM4X400M--BEL01,1895590
ATHM4X400M--BEL01,1903107
ATHM4X400M--BOT01,4975921
ATHM4X400M--BOT01,1950939
ATHM4X400M--BOT01,1950897
ATHM4X400M--BOT01,1951506
ATHM4X400M--BOT01,1950918
ATHM4X400M--BOT01,1936983
ATHM4X400M--BRA01,1952028
ATHM4X400M--BRA01,1951942
ATHM4X400M--BRA01,1952077
ATHM4X400M--BRA01,1952006
ATHM4X400M--BRA01,1952051
ATHM4X400M--ESP01,1904052
ATHM4X400M--ESP01,1904078
ATHM4X400M--ESP01,1904129
ATHM4X400M--ESP01,1904139
ATHM4X400M--ESP01,1904146
ATHM4X400M--FRA01,1910618
ATHM4X400M--FRA01,1910644
ATHM4X400M--FRA01,1910791
ATHM4X400M--FRA01,1911897
ATHM4X400M--FRA01,1911929
ATHM4X400M--FRA01,1911947
ATHM4X400M--GBR01,1924409
ATHM4X400M--GBR01,4663897
ATHM4X400M--GBR01,1924426
ATHM4X400M--GBR01,1924430
ATHM4X400M--GBR01,1956853
ATHM4X400M--GBR01,1924402
ATHM4X400M--GER01,1920082
ATHM4X400M--GER01,1920092
ATHM4X400M--GER01,1920254
ATHM4X400M--GER01,1920152
ATHM4X400M--GER01,1920366
ATHM4X400M--GER01,1920206
ATHM4X400M--GER01,1920234
ATHM4X400M--IND01,1556210
ATHM4X400M--IND01,1544338
ATHM4X400M--IND01,1544339
ATHM4X400M--IND01,1544335
ATHM4X400M--IND01,1544336
ATHM4X400M--ITA01,1552155
ATHM4X400M--ITA01,1568464
ATHM4X400M--ITA01,1552157
ATHM4X400M--ITA01,1552169
ATHM4X400M--ITA01,1552171
ATHM4X400M--ITA01,1552294
ATHM4X400M--ITA01,1552365
ATHM4X400M--ITA01,1552296
ATHM4X400M--ITA01,1552177
ATHM4X400M--JPN01,1919895
ATHM4X400M--JPN01,1921553
ATHM4X400M--JPN01,1921605
ATHM4X400M--JPN01,1921607
ATHM4X400M--JPN01,1921891
ATHM4X400M--NGR01,1976773
ATHM4X400M--NGR01,1929228
ATHM4X400M--NGR01,1986723
ATHM4X400M--NGR01,1928533
ATHM4X400M--NGR01,1929428
ATHM4X400M--NGR01,1928863
ATHM4X400M--POL01,1573079
ATHM4X400M--POL01,1573091
ATHM4X400M--POL01,1572975
ATHM4X400M--POL01,1573174
ATHM4X400M--POL01,1573014
ATHM4X400M--POL01,1573185
ATHM4X400M--RSA01,1981070
ATHM4X400M--RSA01,1981066
ATHM4X400M--RSA01,1981103
ATHM4X400M--RSA01,1981067
ATHM4X400M--RSA01,4338221
ATHM4X400M--TTO01,4982175
ATHM4X400M--TTO01,4975207
ATHM4X400M--TTO01,1911263
ATHM4X400M--TTO01,1911367
ATHM4X400M--TTO01,1911407
ATHM4X400M--USA01,1960604
ATHM4X400M--USA01,1960590
ATHM4X400M--USA01,1960177
ATHM4X400M--USA01,1965202
ATHM4X400M--USA01,1965289
ATHM4X400M--USA01,1960111
ATHM4X400M--USA01,4979564
ATHM4X400M--ZAM01,1937604
ATHM4X400M--ZAM01,1938665
ATHM4X400M--ZAM01,1936402
ATHM4X400M--ZAM01,1938646
ATHM4X400M--ZAM01,1937531
ATHW4X100M--AUS01,1939764
ATHW4X100M--AUS01,1939808
ATHW4X100M--AUS01,1939761
ATHW4X100M--AUS01,1939870
ATHW4X100M--AUS01,1939734
ATHW4X100M--AUS01,3501795
ATHW4X100M--BEL01,1895564
ATHW4X100M--BEL01,1895582
ATHW4X100M--BEL01,1895585
ATHW4X100M--BEL01,1903105
ATHW4X100M--BEL01,1895597
ATHW4X100M--BEL01,1895578
ATHW4X100M--CAN01,1974106
ATHW4X100M--CAN01,1974168
ATHW4X100M--CAN01,1974169
ATHW4X100M--CAN01,1974192
ATHW4X100M--CAN01,1974203
ATHW4X100M--CIV01,1564261
ATHW4X100M--CIV01,1540717
ATHW4X100M--CIV01,1538505
ATHW4X100M--CIV01,1951507
ATHW4X100M--CIV01,1539548
ATHW4X100M--ESP01,1904064
ATHW4X100M--ESP01,1904124
ATHW4X100M--ESP01,1904179
ATHW4X100M--ESP01,1904187
ATHW4X100M--ESP01,1905377
ATHW4X100M--ESP01,1905421
ATHW4X100M--FRA01,1910744
ATHW4X100M--FRA01,1910785
ATHW4X100M--FRA01,1911877
ATHW4X100M--FRA01,1911883
ATHW4X100M--FRA01,1911884
ATHW4X100M--FRA01,1911916
ATHW4X100M--GBR01,1924384
ATHW4X100M--GBR01,1956843
ATHW4X100M--GBR01,1924432
ATHW4X100M--GBR01,1924446
ATHW4X100M--GBR01,1924460
ATHW4X100M--GBR01,1924507
ATHW4X100M--GER01,1920096
ATHW4X100M--GER01,1920119
ATHW4X100M--GER01,1920142
ATHW4X100M--GER01,1920164
ATHW4X100M--GER01,1920169
ATHW4X100M--ITA01,1911081
ATHW4X100M--ITA01,1552163
ATHW4X100M--ITA01,1552166
ATHW4X100M--ITA01,1552168
ATHW4X100M--ITA01,1552174
ATHW4X100M--ITA01,1552295
ATHW4X100M--JAM01,1890561
ATHW4X100M--JAM01,1543422
ATHW4X100M--JAM01,1546073
ATHW4X100M--JAM01,1548352
ATHW4X100M--JAM01,1890785
ATHW4X100M--JAM01,1880728
ATHW4X100M--NED01,1972075
ATHW4X100M--NED01,1972113
ATHW4X100M--NED01,1972249
ATHW4X100M--NED01,1972254
ATHW4X100M--NED01,4968848
ATHW4X100M--NED01,1972111
ATHW4X100M--NGR01,1969607
ATHW4X100M--NGR01,1928894
ATHW4X100M--NGR01,1969457
ATHW4X100M--NGR01,1969547
ATHW4X100M--NGR01,1933451
ATHW4X100M--POL01,1573124
ATHW4X100M--POL01,1573154
ATHW4X100M--POL01,1573175
ATHW4X100M--POL01,1573013
ATHW4X100M--POL01,1573178
ATHW4X100M--SUI01,1976431
ATHW4X100M--SUI01,1976527
ATHW4X100M--SUI01,1977673
ATHW4X100M--SUI01,1977687
ATHW4X100M--SUI01,1977781
ATHW4X100M--SUI01,4967517
ATHW4X100M--TTO01,1907957
ATHW4X100M--TTO01,1908830
ATHW4X100M--TTO01,1908873
ATHW4X100M--TTO01,1908875
ATHW4X100M--TTO01,1911246
ATHW4X100M--USA01,1960709
ATHW4X100M--USA01,1960115
ATHW4X100M--USA01,1961011
ATHW4X100M--USA01,1960181
ATHW4X100M--USA01,1965942
ATHW4X100M--USA01,1965868
ATHW4X400M--BEL01,1915348
ATHW4X400M--BEL01,1895561
ATHW4X400M--BEL01,1895580
ATHW4X400M--BEL01,1895589
ATHW4X400M--BEL01,1895592
ATHW4X400M--BEL01,1915358
ATHW4X400M--CAN01,1974087
ATHW4X400M--CAN01,1974120
ATHW4X400M--CAN01,4846949
ATHW4X400M--CAN01,1974302
ATHW4X400M--CAN01,1974316
ATHW4X400M--CUB01,1556381
ATHW4X400M--CUB01,1556383
ATHW4X400M--CUB01,1556384
ATHW4X400M--CUB01,1556388
ATHW4X400M--CUB01,1954673
ATHW4X400M--CUB01,1559918
ATHW4X400M--ESP01,1904055
ATHW4X400M--ESP01,1904077
ATHW4X400M--ESP01,1904144
ATHW4X400M--ESP01,1905417
ATHW4X400M--ESP01,1905419
ATHW4X400M--FRA01,1910657
ATHW4X400M--FRA01,1910704
ATHW4X400M--FRA01,1910763
ATHW4X400M--FRA01,1910780
ATHW4X400M--FRA01,1911949
ATHW4X400M--FRA01,1911976
ATHW4X400M--GBR01,1924383
ATHW4X400M--GBR01,1924437
ATHW4X400M--GBR01,1956846
ATHW4X400M--GBR01,1924464
ATHW4X400M--GBR01,1924463
ATHW4X400M--GBR01,1924470
ATHW4X400M--GBR01,1924506
ATHW4X400M--GBR01,1924509
ATHW4X400M--GER01,1920295
ATHW4X400M--GER01,1920102
ATHW4X400M--GER01,1920158
ATHW4X400M--GER01,1920170
ATHW4X400M--GER01,1920269
ATHW4X400M--GER01,1920296
ATHW4X400M--IND01,1544423
ATHW4X400M--IND01,1544479
ATHW4X400M--IND01,4667034
ATHW4X400M--IND01,1564579
ATHW4X400M--IND01,1544421
ATHW4X400M--IRL01,1543327
ATHW4X400M--IRL01,1956267
ATHW4X400M--IRL01,3568176
ATHW4X400M--IRL01,1957887
ATHW4X400M--IRL01,1981295
ATHW4X400M--IRL01,1546052
ATHW4X400M--ITA01,1552154
ATHW4X400M--ITA01,1552159
ATHW4X400M--ITA01,1552160
ATHW4X400M--ITA01,4968750
ATHW4X400M--ITA01,1552170
ATHW4X400M--ITA01,1552175
ATHW4X400M--ITA01,1552299
ATHW4X400M--JAM01,1890259
ATHW4X400M--JAM01,1890624
ATHW4X400M--JAM01,1548337
ATHW4X400M--JAM01,1890745
ATHW4X400M--JAM01,1553914
ATHW4X400M--JAM01,1553753
ATHW4X400M--JAM01,1935607
ATHW4X400M--NED01,1972288
ATHW4X400M--NED01,1972115
ATHW4X400M--NED01,1972248
ATHW4X400M--NED01,4980004
ATHW4X400M--NED01,1972251
ATHW4X400M--NOR01,3522950
ATHW4X400M--NOR01,3522948
ATHW4X400M--NOR01,1878347
ATHW4X400M--NOR01,1878348
ATHW4X400M--NOR01,1878358
ATHW4X400M--NOR01,3522949
ATHW4X400M--POL01,1573084
ATHW4X400M--POL01,1573098
ATHW4X400M--POL01,1573127
ATHW4X400M--POL01,1572997
ATHW4X400M--POL01,1573012
ATHW4X400M--POL01,1573025
ATHW4X400M--SUI01,1976512
ATHW4X400M--SUI01,1976537
ATHW4X400M--SUI01,1976551
