code	athletes	athletes_codes
ARCMTEAM3---CHN01	"['KAO Wenchao', 'LI Zhongyuan', 'WANG Yan']"	"['1913366', '1913367', '1913369']"
ARCMTEAM3---COL01	"['ARCILA Santiago', 'ENRIQUEZ Jorge', 'HERNANDEZ VERA Andres']"	"['1935642', '1543412', '1935644']"
ARCMTEAM3---FRA01	"['ADDIS Baptiste', 'CHIRAULT Thomas', 'VALLADONT Jean-Charles']"	"['1541270', '1541272', '1541275']"
ARCMTEAM3---GBR01	"['HALL Conor', 'HALL Tom', 'WISE Alex']"	"['1560988', '1560989', '1561003']"
ARCMTEAM3---IND01	"['BOMMADEVARA Dhiraj', 'JADHAV Pravin Ramesh', 'RAI Tarundeep']"	"['1546108', '1546112', '1546110']"
ARCMTEAM3---ITA01	"['MUSOLESI Federico', 'NESPOLI Mauro', 'PAOLI Alessandro']"	"['1915456', '1915454', '1915455']"
ARCMTEAM3---JPN01	"['FURUKAWA Takaharu', 'NAKANISHI Junya', 'SAITO Fumiya']"	"['1890994', '1890985', '1890977']"
ARCMTEAM3---KAZ01	"['ABDULLIN Ilfat', 'YEREMENKO Alexandr', 'ZHANGBYRBAY Dauletkeldi']"	"['1931570', '1560342', '1931572']"
ARCMTEAM3---KOR01	"['KIM Je Deok', 'KIM Woojin', 'LEE Wooseok']"	"['1902130', '1902135', '1902144']"
ARCMTEAM3---MEX01	"['GRANDE Matias', 'MARTINEZ WING Bruno', 'ROJAS Carlos']"	"['1535430', '1536467', '1536460']"
ARCMTEAM3---TPE01	"['LIN Zih-Siang', 'TANG Chih-Chun', 'TAI Yu-Hsuan']"	"['1564631', '1564628', '1564630']"
ARCMTEAM3---TUR01	"['GAZOZ Mete', 'TUMER Berkim', 'YILDIRMIS Abdullah']"	"['1565000', '1565002', '1565006']"
ARCWTEAM3---CHN01	"['AN Qixuan', 'LI Jiaman', 'YANG Xiaolei']"	"['1913382', '1913372', '1913380']"
ARCWTEAM3---FRA01	"['BARBELIN Lisa', 'CORDEAU Amelie', 'LOPEZ Caroline']"	"['1541265', '1541266', '1541268']"
ARCWTEAM3---GBR01	"['HEALEY Penny', 'HAVERS Megan', 'PITMAN Bryony']"	"['1560991', '1560990', '1561000']"
ARCWTEAM3---GER01	"['BAUER Katharina', 'KROPPEN Michelle', 'SCHWARZ Charline']"	"['1553257', '1553258', '1553285']"
ARCWTEAM3---INA01	"['CHOIRUNISA Diananda', 'KAMAL Syifa Nurafifah', 'OCTAVIA Rezza']"	"['1913983', '1913884', '1913851']"
ARCWTEAM3---IND01	"['BHAKAT Ankita', 'KAUR Bhajan', 'KUMARI Deepika']"	"['1546200', '1546133', '1546132']"
ARCWTEAM3---KOR01	"['JEON Hunyoung', 'LIM Sihyeon', 'NAM Suhyeon']"	"['1902121', '1902147', '1902148']"
ARCWTEAM3---MAS01	"['MASHAYIKH Syaqiera', 'MOHAMAD FAZIL Nurul Azreena', 'MOHAMAD ZAIRI Ariana Nur Dania']"	"['1893596', '1893598', '1893601']"
ARCWTEAM3---MEX01	"['RUIZ Angela', 'VALENCIA Alejandra', 'VAZQUEZ Ana']"	"['1535429', '1535420', '1536479']"
ARCWTEAM3---NED01	"['ROEFFEN Quinty', 'SCHLOESSER Gaby', 'van der WINKEL Laura']"	"['1973408', '1973411', '1973409']"
ARCWTEAM3---TPE01	"['CHIU Yi-Ching', 'LEI Chien-Ying', 'LI Tsai-Chi']"	"['1564635', '1564634', '1564638']"
ARCWTEAM3---USA01	"['GNORIEGA Catalina', 'KAUFHOLD Casey', 'MUCINO Jennifer']"	"['1955599', '1955601', '1955608']"
ARCXTEAM2---AUS01	"['PAEGLIS Laura', 'BOUKOUVALAS Peter']"	"['1931124', '1931126']"
ARCXTEAM2---BRA01	"['SLIACHTICAS CAETANO Ana Luiza', ""D'ALMEIDA Marcus""]"	"['1958706', '1958717']"
ARCXTEAM2---CAN01	"['CHENIER Virginie', 'PETERS Eric']"	"['1971736', '1971737']"
ARCXTEAM2---CHN01	"['YANG Xiaolei', 'WANG Yan']"	"['1913380', '1913369']"
ARCXTEAM2---COL01	"['RENDON MARTINEZ Ana', 'ARCILA Santiago']"	"['1935464', '1935642']"
ARCXTEAM2---CZE01	"['HORACKOVA Marie', 'LI Adam']"	"['1894503', '1894507']"
ARCXTEAM2---EGY01	"['ALI Jana', 'TOLBA Youssof']"	"['1889144', '1888973']"
ARCXTEAM2---ESP01	"['CANALES Elia', 'ACHA GONZALEZ Pablo']"	"['1563638', '1563633']"
ARCXTEAM2---FRA01	"['BARBELIN Lisa', 'ADDIS Baptiste']"	"['1541265', '1541270']"
ARCXTEAM2---GBR01	"['PITMAN Bryony', 'WISE Alex']"	"['1561000', '1561003']"
ARCXTEAM2---GER01	"['KROPPEN Michelle', 'UNRUH Florian']"	"['1553258', '1553249']"
ARCXTEAM2---INA01	"['CHOIRUNISA Diananda', 'PANGESTU Arif']"	"['1913983', '1913631']"
ARCXTEAM2---IND01	"['BHAKAT Ankita', 'BOMMADEVARA Dhiraj']"	"['1546200', '1546108']"
ARCXTEAM2---ISR01	"['MOSHE Mikaella', 'DROR Roy']"	"['1937691', '1937678']"
ARCXTEAM2---ITA01	"['REBAGLIATI Chiara', 'NESPOLI Mauro']"	"['1915461', '1915454']"
ARCXTEAM2---JPN01	"['NODA Satsuki', 'NAKANISHI Junya']"	"['1890981', '1890985']"
ARCXTEAM2---KOR01	"['LIM Sihyeon', 'KIM Woojin']"	"['1902147', '1902135']"
ARCXTEAM2---MDA01	"['MIRCA Alexandra', 'OLARU Dan']"	"['1898203', '1898162']"
ARCXTEAM2---MEX01	"['VALENCIA Alejandra', 'GRANDE Matias']"	"['1535420', '1535430']"
ARCXTEAM2---NED01	"['SCHLOESSER Gaby', 'WIJLER Steve']"	"['1973411', '1973414']"
ARCXTEAM2---SLO01	"['PINTARIC Zana', 'RAVNIKAR Ziga']"	"['1981582', '1981585']"
